package_age_days,days_since_update,days_since_last_commit,update_frequency_score,description_length,has_detailed_description,log_download_count,log_star_count,log_fork_count,stars_to_downloads,maintainer_count,maintainer_experience,has_homepage,has_repository,total_issues,issue_resolution_rate,log_contributors,log_commits,community_engagement_score,ecosystem_npm,ecosystem_pypi,total_historical_vulns,critical_historical_vulns,vuln_frequency_score,is_security_related,total_dependencies,unique_dependencies,high_risk_indicators,age_new,age_young,age_mature,age_old,update_rec_very_recent,update_rec_recent,update_rec_stale,update_rec_abandoned,maintenance_risk,security_history_risk,community_risk,dependency_risk,composite_risk_score
4351.0,3.0,365.0,5,44,0,19.292787197660363,10.165120780630861,8.460199469896118,0.00010861457977150778,2,1.0,1,1,86.0,0.0,0.0,0.0,4,True,False,5.0,2.0,2,0,696.0,41.0,2,False,False,False,True,True,False,False,False,0.0,0.5666666666666667,0.09999999999999998,1.0,0.39
1676.0,179.0,365.0,3,34,0,19.278840771112012,2.3978952727983707,2.0794415416798357,4.239414058034374e-08,1,1.0,1,1,3.0,0.0,0.0,0.0,4,True,False,5.0,1.0,2,0,28.0,6.0,1,False,False,True,False,False,False,True,False,0.3,0.43333333333333335,0.3,0.168,0.31360000000000005
443.0,139.0,365.0,3,65,0,19.16488245164723,1.3862943611198906,0.0,1.4253402839577167e-08,1,1.0,1,1,1.0,0.0,0.0,0.0,3,True,False,1.0,0.0,1,0,4.0,1.0,0,False,True,False,False,False,False,True,False,0.3,0.06,0.7,0.024,0.2528
4332.0,329.0,365.0,2,76,0,19.149267025220105,6.75343791859778,4.543294782270004,4.1309768684116405e-06,2,0.0,1,1,41.0,0.0,0.0,0.0,4,True,False,3.0,1.0,2,0,14.0,1.0,1,False,False,False,True,False,False,True,False,0.3,0.31333333333333335,0.09999999999999998,0.084,0.2208
3907.0,1727.0,365.0,1,90,0,19.15970667367071,5.0369526024136295,3.4657359027997265,7.306956931726068e-07,3,0.0,1,1,11.0,0.0,0.0,0.0,4,True,False,4.0,0.0,2,0,7.0,1.0,1,False,False,False,True,False,False,False,True,0.7,0.24,0.09999999999999998,0.042,0.3104
2326.0,0.0,365.0,5,57,0,19.14075015210185,9.664976524090797,7.935229539816907,7.66824953516804e-05,1,1.0,1,1,382.0,0.0,0.0,0.0,4,True,False,5.0,1.0,2,0,100.0,5.0,2,False,False,False,True,False,False,False,False,0.3,0.43333333333333335,0.3,0.6,0.4
2326.0,0.0,365.0,5,57,0,19.14075015210185,9.664976524090797,7.935229539816907,7.66824953516804e-05,1,0.0,1,1,382.0,0.0,0.0,0.0,4,True,False,5.0,1.0,2,0,100.0,5.0,2,False,False,False,True,False,False,False,False,0.3,0.43333333333333335,0.3,0.6,0.4
3912.0,511.0,365.0,1,91,0,18.99107778758286,7.957177323459475,5.231108616854587,1.6139341979637668e-05,3,0.0,1,1,39.0,0.0,0.0,0.0,4,True,False,2.0,1.0,1,0,7.0,1.0,2,False,False,False,True,False,False,False,True,0.7,0.2533333333333333,0.09999999999999998,0.042,0.3144
629.0,475.0,365.0,1,99,0,19.004425322842838,1.3862943611198906,0.0,1.6734171104322478e-08,1,1.0,1,1,1.0,0.0,0.0,0.0,3,True,False,4.0,1.0,2,0,23.0,5.0,2,False,True,False,False,False,False,False,True,1.0,0.3733333333333333,0.7,0.138,0.5795999999999999
853.0,3.0,365.0,5,41,0,19.014783216530258,10.165120780630861,8.460199469896118,0.0001434246243948956,2,1.0,1,1,86.0,0.0,0.0,0.0,4,True,False,2.0,1.0,1,0,0.0,0.0,1,False,True,False,False,True,False,False,False,0.0,0.2533333333333333,0.09999999999999998,0.0,0.09599999999999997
2723.0,438.0,365.0,1,54,0,18.940804236259325,1.6094379124341003,1.791759469228055,2.3777885351573094e-08,1,0.0,1,1,1.0,0.0,0.0,0.0,3,True,False,2.0,0.0,1,0,22.0,4.0,1,False,False,False,True,False,False,False,True,1.0,0.12,0.7,0.132,0.5024
599.0,450.0,365.0,1,32,0,18.972559927105397,1.6094379124341003,0.6931471805599453,2.303466536315031e-08,1,1.0,1,1,1.0,0.0,0.0,0.0,3,True,False,1.0,0.0,1,0,31.0,6.0,1,False,True,False,False,False,False,False,True,1.0,0.06,0.7,0.186,0.4952
2123.0,169.0,365.0,3,41,0,18.903646488329755,2.0794415416798357,1.0986122886681098,4.318656699355073e-08,1,0.0,1,1,1.0,0.0,0.0,0.0,4,True,False,3.0,0.0,2,0,25.0,5.0,0,False,False,True,False,False,False,True,False,0.3,0.18,0.3,0.15,0.23399999999999999
1551.0,166.0,365.0,3,37,0,18.919073778369103,1.3862943611198906,1.0986122886681098,1.8225183514840365e-08,1,0.0,1,1,1.0,0.0,0.0,0.0,3,True,False,5.0,0.0,2,0,3.0,2.0,0,False,False,True,False,False,False,True,False,0.3,0.3,0.7,0.018,0.32359999999999994
2579.0,7.0,365.0,5,69,0,18.90659927537885,9.102643796520809,6.008813185442595,5.5226543705076725e-05,1,0.0,1,1,310.0,0.0,0.0,0.0,4,True,False,10.0,0.0,3,0,80.0,4.0,2,False,False,False,True,True,False,False,False,0.3,0.6,0.3,0.48,0.42600000000000005
1385.0,167.0,365.0,3,92,0,18.869176235094834,1.3862943611198906,1.0986122886681098,1.9157645725090773e-08,1,1.0,1,1,2.0,0.0,0.0,0.0,3,True,False,3.0,0.0,2,0,10.0,4.0,0,False,False,True,False,False,False,True,False,0.3,0.18,0.7,0.06,0.296
2723.0,173.0,365.0,3,52,0,18.970238981001042,1.791759469228055,1.791759469228055,2.886023708684767e-08,1,1.0,1,1,1.0,0.0,0.0,0.0,3,True,False,3.0,0.0,2,0,26.0,5.0,0,False,False,False,True,False,False,True,False,0.3,0.18,0.7,0.156,0.3152
2723.0,173.0,365.0,3,52,0,18.970238981001042,1.791759469228055,1.791759469228055,2.886023708684767e-08,1,0.0,1,1,1.0,0.0,0.0,0.0,3,True,False,3.0,0.0,2,0,26.0,5.0,0,False,False,False,True,False,False,True,False,0.3,0.18,0.7,0.156,0.3152
179.0,91.0,365.0,3,79,0,18.883401246753238,1.6094379124341003,0.0,2.5182742822882094e-08,1,1.0,1,1,1.0,0.0,0.0,0.0,3,True,False,4.0,0.0,2,0,8.0,3.0,0,True,False,False,False,False,False,True,False,0.3,0.24,0.7,0.048,0.31159999999999993
3492.0,168.0,365.0,3,31,0,18.823497882615204,2.6390573296152584,1.791759469228055,8.689646146245542e-08,2,0.0,1,1,0.0,0.0,0.0,0.0,3,True,False,5.0,0.0,2,0,15.0,4.0,0,False,False,False,True,False,False,True,False,0.0,0.3,0.2,0.09,0.148
2123.0,169.0,365.0,3,33,0,18.88007280665179,2.0794415416798357,1.3862943611198906,4.4216728014429005e-08,1,0.0,1,1,0.0,0.0,0.0,0.0,3,True,False,6.0,1.0,3,0,16.0,6.0,2,False,False,True,False,False,False,True,False,0.3,0.4933333333333333,0.4,0.096,0.3372
4397.0,8.0,365.0,5,64,0,18.806263331572975,9.945061264446057,7.191429330036379,0.0001417777266225799,4,0.0,1,1,47.0,0.0,0.0,0.0,4,True,False,3.0,0.0,2,0,141.0,8.0,1,False,False,False,True,True,False,False,False,0.0,0.18,0.09999999999999998,0.6,0.194
694.0,169.0,365.0,3,54,0,18.70574390504756,0.0,0.0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.0,3,True,False,2.0,0.0,1,0,34.0,8.0,0,False,True,False,False,False,False,True,False,0.3,0.12,0.7,0.20400000000000001,0.3068
455.0,166.0,365.0,3,47,0,18.554336000155477,1.0986122886681098,0.0,1.7497832521613257e-08,1,1.0,1,1,1.0,0.0,0.0,0.0,3,True,False,2.0,0.0,1,0,6.0,4.0,0,False,True,False,False,False,False,True,False,0.3,0.12,0.7,0.036,0.2732
3430.0,193.0,365.0,2,131,1,18.596918758470807,4.356708826689592,2.5649493574615367,6.455821709521543e-07,3,0.0,1,1,5.0,0.0,0.0,0.0,4,True,False,3.0,1.0,2,0,120.0,7.0,2,False,False,False,True,False,False,True,False,0.3,0.31333333333333335,0.09999999999999998,0.6,0.32399999999999995
4164.0,172.0,365.0,3,67,0,18.586189131564176,2.833213344056216,2.0794415416798357,1.3559404079784008e-07,1,1.0,1,1,1.0,0.0,0.0,0.0,4,True,False,4.0,1.0,2,0,5.0,3.0,1,False,False,False,True,False,False,True,False,0.3,0.3733333333333333,0.3,0.03,0.268
2654.0,208.0,365.0,2,31,0,18.555424865923303,6.694562058521095,4.553876891600541,7.052691805338435e-06,1,0.0,1,1,82.0,0.0,0.0,0.0,4,True,False,2.0,0.0,1,0,49.0,4.0,0,False,False,False,True,False,False,True,False,0.6,0.12,0.3,0.294,0.33480000000000004
488.0,173.0,365.0,3,157,1,18.55363356548691,1.0986122886681098,0.0,1.7510127923654022e-08,1,1.0,1,1,1.0,0.0,0.0,0.0,3,True,False,1.0,0.0,1,0,5.0,3.0,0,False,True,False,False,False,False,True,False,0.3,0.06,0.7,0.03,0.254
455.0,165.0,365.0,3,47,0,18.554697151438162,1.0986122886681098,0.0,1.7491514297939855e-08,1,0.0,1,1,1.0,0.0,0.0,0.0,3,True,False,5.0,2.0,2,0,9.0,4.0,1,False,True,False,False,False,False,True,False,0.3,0.5666666666666667,0.7,0.054,0.4108
2654.0,208.0,365.0,2,32,0,18.54592451012682,6.694562058521095,4.553876891600541,7.120014173680755e-06,1,0.0,1,1,82.0,0.0,0.0,0.0,4,True,False,5.0,0.0,2,0,120.0,6.0,1,False,False,False,True,False,False,True,False,0.6,0.3,0.3,0.6,0.45
486.0,165.0,365.0,3,48,0,18.554468694912984,1.0986122886681098,0.0,1.7495510805013154e-08,1,0.0,1,1,1.0,0.0,0.0,0.0,3,True,False,3.0,0.0,2,0,9.0,5.0,0,False,True,False,False,False,False,True,False,0.3,0.18,0.7,0.054,0.29479999999999995
2654.0,208.0,365.0,2,27,0,18.58119588470573,6.694562058521095,4.553876891600541,6.873258769122e-06,1,1.0,1,1,82.0,0.0,0.0,0.0,4,True,False,2.0,0.0,1,0,49.0,4.0,0,False,False,False,True,False,False,True,False,0.6,0.12,0.3,0.294,0.33480000000000004
3723.0,2680.0,365.0,1,126,1,18.45135852184882,3.1780538303479458,1.791759469228055,2.230512422698319e-07,1,1.0,1,1,3.0,0.0,0.0,0.0,4,True,False,4.0,0.0,2,0,4.0,2.0,1,False,False,False,True,False,False,False,True,1.0,0.24,0.3,0.024,0.4368
5262.0,278.0,365.0,2,60,0,18.395597062404498,9.496871782670567,7.126087273299125,0.00013655264105850908,3,0.0,1,1,40.0,0.0,0.0,0.0,4,True,False,6.0,0.0,3,0,0.0,0.0,1,False,False,False,True,False,False,True,False,0.3,0.36,0.09999999999999998,0.0,0.218
4396.0,1675.0,365.0,1,106,1,18.450382040895427,5.905361848054571,3.58351893845611,3.552891753930445e-06,1,1.0,1,1,4.0,0.0,0.0,0.0,4,True,False,3.0,0.0,2,0,0.0,0.0,1,False,False,False,True,False,False,False,True,1.0,0.18,0.3,0.0,0.414
